,人物ID,著者名,作品ID,作品名,仮名遣い種別,翻訳者名等,入力者名,校正者名,状態,状態の開始日,底本名,出版社名,入力に使用した版,校正に使用した版
49,879,芥川 竜之介,15,アグニの神,新字旧仮名,,j.utiyama,かとうかおり,公開,1998-12-11,現代日本文學大系　43　芥川龍之介集,筑摩書房,1968（昭和43）年8月25日初版第1刷,
113,879,芥川 竜之介,69,河童,新字新仮名,,もりみつじゅんじ,かとうかおり,公開,1999-01-24,河童・或る阿呆の一生,旺文社文庫、旺文社,1984（昭和59）年重版,
151,879,芥川 竜之介,37,戯作三昧,新字旧仮名,,j.utiyama,かとうかおり,公開,1999-01-16,現代日本文学大系　43　芥川龍之介集,筑摩書房,1968（昭和43）年8月25日初版第1刷,
188,879,芥川 竜之介,60,地獄変,新字旧仮名,,もりみつじゅんじ,j.utiyama,公開,1998-12-02,芥川龍之介全集　第一巻,岩波書店,,
202,879,芥川 竜之介,158,侏儒の言葉,新字新仮名,,j.utiyama,かとうかおり,公開,1999-01-13,芥川龍之介全集7,ちくま文庫、筑摩書房,1998（平成10）年2月17日第4刷,1998（平成10）年2月17日第4刷
228,879,芥川 竜之介,2325,仙人,新字旧仮名,,j.utiyama,j.utiyama,公開,1999-02-15,芥川龍之介全集　第四巻,筑摩書房,1971（昭和46）年10月5日初版第5刷,1971（昭和46）年10月5日初版第5刷
277,879,芥川 竜之介,170,杜子春,新字旧仮名,,j.utiyama,野口英司,公開,1998-05-20,現代日本文学大系　43　芥川龍之介集,筑摩書房,1968（昭和43）年8月25日初版第1刷,
308,879,芥川 竜之介,40,歯車,新字旧仮名,,j.utiyama,かとうかおり,公開,1998-04-27,現代日本文学大系　43　芥川龍之介集,筑摩書房,1968（昭和43）年8月25日初版第1刷,
361,879,芥川 竜之介,55721,本所両国,新字新仮名,,門田裕志,仙酔ゑびす,公開,2013-07-24,大東京繁昌記,毎日新聞社,1999（平成11）年5月15日,1999（平成11）年5月15日
371,879,芥川 竜之介,98,蜜柑,新字旧仮名,,j.utiyama,野口英司,公開,1998-03-16,現代日本文学大系　43　芥川龍之介集,筑摩書房,1968（昭和43）年8月25日初版第1刷,
390,879,芥川 竜之介,179,藪の中,新字新仮名,,野口英司、平山誠,もりみつじゅんじ,公開,1997-11-10,芥川龍之介全集4,ちくま文庫、筑摩書房,1996（平成8）年7月15日第8刷,1996（平成8）年7月15日第8刷
398,879,芥川 竜之介,186,夢,新字新仮名,,j.utiyama,もりみつじゅんじ,公開,1999-03-01,芥川龍之介全集6,ちくま文庫、筑摩書房,1993（平成5）年2月25日第6刷,
